name	type	latitude	longitude	voivodeship
Abramowice Kościelne	wieś	51.191389	22.629444	lubelskie
Abramowice Prywatne	wieś	51.204722	22.620556	lubelskie
Abramów	wieś	51.456111	22.315833	lubelskie
Abramów	wieś	50.698333	22.700278	lubelskie
Abramy	wieś	52.254167	21.799722	mazowieckie
Achrymowce	wieś	53.512778	23.547222	podlaskie
Adamczowice	wieś	50.654444	21.470833	świętokrzyskie
Adamczycha	wieś	53.106944	21.262778	mazowieckie
Adamek	wieś	51.070833	20.506389	świętokrzyskie
Adamierz	wieś	52.152500	17.795278	wielkopolskie
Adamierz	wieś	50.205000	20.900000	małopolskie
Adamin	wieś	52.163611	18.835000	wielkopolskie
Adaminowo	wieś	52.595000	19.271944	kujawsko-pomorskie
Adamka	wieś	51.766389	18.837222	łódzkie
Adamki	wieś	51.664722	18.495000	łódzkie
Adamki	wieś	52.998889	19.123056	kujawsko-pomorskie
Adamkowo	wieś	53.514167	17.699167	kujawsko-pomorskie
Adamowa Góra	wieś	52.263333	20.209167	mazowieckie
Adamowice	wieś	50.131667	18.329722	śląskie
Adamowice	wieś	52.234444	19.298056	łódzkie
Adamowice	wieś	51.941111	20.480833	mazowieckie
Adamowice	wieś	50.378611	19.853611	małopolskie
Adamowizna	wieś	54.177778	23.127778	podlaskie
Adamowizna	wieś	52.072500	20.636389	mazowieckie
Adamowo	wieś	52.093333	16.126944	wielkopolskie
Adamowo	wieś	52.448889	18.044722	wielkopolskie
Adamowo	wieś	54.154444	19.261389	warmińsko-mazurskie
Adamowo	wieś	53.906111	19.378889	pomorskie
Adamowo	wieś	53.705000	19.348611	warmińsko-mazurskie
Adamowo	wieś	53.427778	19.164444	kujawsko-pomorskie
Adamowo	wieś	52.949444	19.276667	kujawsko-pomorskie
Adamowo	wieś	52.842778	19.486667	mazowieckie
Adamowo	wieś	53.180556	19.920278	warmińsko-mazurskie
Adamowo	wieś	52.912500	19.892778	mazowieckie
Adamowo	wieś	52.914444	20.177500	mazowieckie
Adamowo	wieś	52.913611	21.275000	mazowieckie
Adamowo	wieś	52.663056	20.700000	mazowieckie
Adamowo	wieś	53.870000	20.990556	warmińsko-mazurskie
Adamowo	wieś	52.568889	20.607500	mazowieckie
Adamowo	wieś	52.734167	21.494444	mazowieckie
Adamowo-Zastawa	wieś	52.362778	23.121944	podlaskie
Adamów	wieś	52.261944	18.089167	wielkopolskie
Adamów	wieś	52.153889	18.363056	wielkopolskie
Adamów	wieś	52.340833	19.644444	mazowieckie
Adamów	wieś	52.271667	19.289167	łódzkie
Adamów	wieś	52.146667	20.635000	mazowieckie
Adamów	wieś	51.916389	20.235000	łódzkie
Adamów	wieś	52.317500	21.804722	mazowieckie
Adamów	wieś	52.280278	21.704167	mazowieckie
Adamów	wieś	51.666389	19.965000	łódzkie
Adamów	wieś	51.669444	20.910833	mazowieckie
Adamów	wieś	51.743056	22.264444	lubelskie
Adamów	wieś	51.618889	21.371667	mazowieckie
Adamów	wieś	51.250556	23.104722	lubelskie
Adamów	wieś	50.594167	23.150278	lubelskie
Adamów	wieś	51.871944	19.003611	łódzkie
Adamów	wieś	51.771944	19.690556	łódzkie
Adamów	wieś	51.158056	19.748611	łódzkie
Adamów	wieś	51.100833	19.293056	łódzkie
Adamów	wieś	51.446389	19.912500	łódzkie
Adamów	wieś	51.359167	20.393056	łódzkie
Adamów	wieś	51.281667	20.111667	łódzkie
Adamów	wieś	51.196111	20.134167	łódzkie
Adamów	wieś	51.020000	21.149167	świętokrzyskie
Adamów	wieś	51.028889	21.443056	mazowieckie
Adamów	wieś	50.808889	21.457778	świętokrzyskie
Adamów	wieś	51.059722	20.428611	świętokrzyskie
Adamów	wieś	50.777500	21.524444	świętokrzyskie
Adamów	wieś	50.868611	19.335000	śląskie
Adamów-Parcel	wieś	52.015833	20.576667	mazowieckie
Adamów-Wieś	wieś	52.030833	20.593889	mazowieckie
Adamów Drwalewski	wieś	51.922778	21.036389	mazowieckie
Adamów Rososki	wieś	51.917500	21.139167	mazowieckie
Adamówek	wieś	52.366389	20.725833	mazowieckie
Adamówek	wieś	51.946667	20.537500	mazowieckie
Adamówka	wieś	50.935556	22.804444	lubelskie
Adamówka	wieś	50.258611	22.695278	podkarpackie
Adampol	wieś	52.516389	21.590556	mazowieckie
Adampol	wieś	52.394722	21.723333	mazowieckie
Adamusy	wieś	53.407222	21.780000	podlaskie
Adelin	wieś	52.495556	21.443889	mazowieckie
Adelina	wieś	51.137778	22.148889	lubelskie
Adelina	wieś	50.659722	23.774722	lubelskie
Adelinów	wieś	51.282500	19.878889	łódzkie
Adolfin	wieś	51.449167	21.388611	mazowieckie
Adolfowo	wieś	52.108889	16.215000	wielkopolskie
Adolfów	wieś	52.651944	22.281389	mazowieckie
Adolfów	wieś	51.935000	19.358889	łódzkie
Afryka	wieś	51.223056	20.081389	łódzkie
Agatówka	wieś	50.610000	22.007222	podkarpackie
Agatówka	wieś	50.838056	22.081389	lubelskie
Agnieszkowo	wieś	52.555833	18.765000	kujawsko-pomorskie
Agnieszkowo	wieś	52.927222	19.517778	mazowieckie
Agnopol	wieś	51.662222	20.029167	łódzkie
Agrafinówka	wieś	54.155833	22.739722	podlaskie
Aksmanice	wieś	49.677222	22.750556	podkarpackie
Akwizgran	wieś	50.927778	20.383889	świętokrzyskie
Albertowsko	wieś	52.266389	16.198056	wielkopolskie
Albertów	wieś	52.025833	18.415000	wielkopolskie
Albertów	wieś	51.676111	19.824444	łódzkie
Albertów	wieś	51.596944	20.113333	łódzkie
Albertów	wieś	51.299167	23.056111	lubelskie
Albertów	wieś	51.792222	19.183333	łódzkie
